date, pm25, pm10
2022/7/1, 15, 5
2022/7/2, 18, 
2022/7/4, 17, 
2022/7/7, 21, 
2022/7/11, 21, 
2022/7/13, 21, 
2022/4/1, 124, 
2022/4/4, 102, 45
2022/4/5, 112, 56
2022/4/6, 141, 60
2022/4/7, 155, 60
2022/4/8, 153, 63
2022/4/9, 159, 50
2022/4/10, 128, 55
2022/4/11, 139, 61
2022/4/12, 155, 50
2022/4/13, 123, 64
2022/4/14, 158, 66
2022/4/15, 163, 58
2022/4/16, 148, 51
2022/4/17, 126, 36
2022/4/18, 94, 24
2022/4/19, 73, 31
2022/4/20, 86, 25
2022/4/21, 76, 32
2022/4/22, 88, 44
2022/4/23, 108, 50
2022/4/24, 119, 52
2022/4/25, 129, 53
2022/4/26, 131, 58
2022/4/27, 148, 60
2022/4/28, 151, 65
2022/4/29, 152, 68
2022/4/30, 157, 44
2022/5/1, 107, 26
2022/5/2, 78, 26
2022/5/3, 77, 47
2022/5/4, 116, 61
2022/5/5, 153, 49
2022/5/6, 123, 35
2022/5/7, 94, 14
2022/5/8, 52, 17
2022/5/9, 60, 10
2022/5/10, 38, 7
2022/5/11, 28, 9
2022/5/12, 36, 15
2022/5/13, 53, 25
2022/5/14, 72, 25
2022/5/15, 74, 25
2022/5/16, 76, 17
2022/5/17, 55, 15
2022/5/18, 50, 21
2022/5/19, 68, 19
2022/5/20, 62, 8
2022/5/21, 30, 9
2022/5/22, 33, 26
2022/5/23, 72, 17
2022/5/24, 52, 17
2022/5/25, 52, 25
2022/5/26, 74, 31
2022/5/27, 83, 29
2022/5/28, 81, 40
2022/5/29, 99, 40
2022/5/30, 100, 21
2022/5/31, 65, 16
2022/6/1, 57, 20
2022/6/2, 64, 25
2022/6/3, 72, 17
2022/6/4, 55, 8
2022/6/5, 29, 8
2022/6/6, 30, 8
2022/6/7, 31, 8
2022/6/8, 30, 11
2022/6/9, 44, 17
2022/6/10, 59, 23
2022/6/11, 70, 18
2022/6/12, 59, 19
2022/6/13, 63, 31
2022/6/14, 84, 20
2022/6/15, 62, 13
2022/6/16, 49, 9
2022/6/17, 35, 8
2022/6/18, 28, 10
2022/6/19, 37, 8
2022/6/20, 31, 7
2022/6/21, 28, 7
2022/6/22, 27, 13
2022/6/23, 48, 4
2022/6/24, 17, 8
2022/6/25, 33, 15
2022/6/26, 56, 18
2022/6/27, 59, 8
2022/6/28, 33, 8
2022/6/29, 33, 5
2022/6/30, 21, 4
2022/1/4, 95, 41
2022/1/5, 103, 43
2022/1/6, 107, 42
2022/1/7, 106, 43
2022/1/8, 107, 37
2022/1/9, 95, 42
2022/1/10, 104, 51
2022/1/11, 126, 54
2022/1/12, 133, 57
2022/1/13, 140, 58
2022/1/14, 147, 51
2022/1/15, 126, 9
2022/1/16, 39, 13
2022/1/17, 47, 19
2022/1/18, 63, 16
2022/1/19, 58, 28
2022/1/20, 80, 44
2022/1/21, 108, 36
2022/1/22, 94, 32
2022/1/23, 86, 38
2022/1/24, 95, 41
2022/1/25, 100, 36
2022/1/26, 93, 34
2022/1/27, 89, 34
2022/1/28, 88, 28
2022/1/29, 78, 36
2022/1/30, 93, 43
2022/1/31, 104, 45
2022/2/1, 108, 33
2022/2/2, 86, 41
2022/2/3, 103, 54
2022/2/4, 134, 
2022/2/7, 73, 25
2022/2/8, 75, 33
2022/2/9, 88, 36
2022/2/10, 94, 49
2022/2/11, 119, 53
2022/2/12, 132, 51
2022/2/13, 124, 52
2022/2/14, 128, 56
2022/2/15, 141, 48
2022/2/16, 124, 40
2022/2/17, 103, 37
2022/2/18, 95, 19
2022/2/19, 63, 26
2022/2/20, 76, 12
2022/2/21, 47, 29
2022/2/22, 81, 38
2022/2/23, 95, 21
2022/2/24, 64, 38
2022/2/25, 95, 48
2022/2/26, 115, 53
2022/2/27, 132, 57
2022/2/28, 147, 58
2022/3/1, 149, 59
2022/3/2, 151, 62
2022/3/3, 157, 64
2022/3/4, 160, 65
2022/3/5, 161, 61
2022/3/6, 155, 57
2022/3/7, 146, 44
2022/3/8, 109, 47
2022/3/9, 116, 52
2022/3/10, 129, 55
2022/3/11, 140, 54
2022/3/12, 137, 58
2022/3/13, 149, 58
2022/3/14, 150, 58
2022/3/15, 149, 49
2022/3/16, 119, 54
2022/3/17, 136, 54
2022/3/18, 134, 56
2022/3/19, 144, 55
2022/3/20, 138, 43
2022/3/21, 113, 24
2022/3/22, 73, 18
2022/3/23, 62, 21
2022/3/24, 69, 43
2022/3/25, 108, 52
2022/3/26, 128, 54
2022/3/27, 137, 56
2022/3/28, 144, 48
2022/3/29, 117, 58
2022/3/30, 147, 56
2022/3/31, 142, 49
